"cod_mun","Municipio","pobreza_monetaria","varianza_pobreza","pct_indigena_2024","pct_afro_2024","pct_menores15_2024","indice_envejecimiento_2024","categoria_617","cat_ruralidad","extension","var_intercensal","idf_2024","cobertura_educ_2024","desercion_2024","analfabetismo_2018","analfabetismo_rural_2018","saber11_mate_2022","saber11_lectura_2022","pct_ocupados_form_2016","pct_primario_2023","pct_secundario_2023","pct_terciario_2023","peso_relativo_2023","tasa_mortalidad_2020","mort_infantil_1a_2020","cobertura_pentavalente_2020","bajo_peso_2020","control_prenatal_4_2020","promedio_prenatales_2020","mort_infantil_5a_2020","fecundidad_15_19_2020","mort_neonatal_2020","partos_calificados_2020","tasa_hurto_2019","tasa_homicidios_2019","tasa_extorsion_2019","tasa_violencia_intra_2019","recaudo_predial_2020","pct_predios_urb_2022","pct_predios_rur_2022","acueducto_2018","alcantarillado_2018","energia_2018","internet_2018","iica_2023","dist_popayan_km","dist_cali_km","dist_capital_km","dist_carretera_km","snap_km","aislado_vial","pdet","pct_rural","pct_urbano","tasa_dependencia","pct_sisben_A","coca_pct_territorio","desplaz_tasa_1000","victimas_tasa_1000","cotizantes_tasa_1000","pagos_admin_pc","pagos_total_pc","ingresos_corrientes_pc","ingresos_no_trib_pc","transferencias_pc","sgp_pc","recursos_capital_pc","predios_pc","pct_contributivo","pct_subsidiado","pct_excepcion","tiene_coca","tiene_mort_materna","tiene_mort_ira","tiene_pagos_salud","tiene_empresas_formales","log_valor_agregado_pc","log_avaluo_promedio","log_ingresos_tributarios_pc","log_densidad_2024","log_pob_total","log_ingresos_pc"
"19001","Popayán",0.387999218684024,9.40723453881163e-09,3.58,2.18,18.93,84.1,"1","Ciudades y aglomeraciones",464,23.51,66.2,106.67,3.38,3.9,8,54.37,55.95,39.48,130.258546528373,123.326981399985,86.3647163947177,26677781615515,6.46,12.65,81.86,8.74,87.82,6.14,10.92,39.92,6.66,99.68,1127.67,17.7,42.55,318.95,5.72,69.3,30.7,96.12,84.9,99.5,75,3,0,103.499692968292,0,4.6641,0.00540654918061695,0,0,17.69,82.31,43.1,32.6135620070944,0,4.45982711712643,4.86448324551434,210.960269081976,4787768.66805283,14705485.6591016,2299561.39057926,1728142.10213119,1638701.36325493,1035851.11101353,360510.080305587,0.398884756230556,47.7442935906697,47.8819759580655,4.37373045126476,0,0,0,1,1,21.4013610012528,3.72200030195139,13.255878524681,6.60563615873259,12.7612328076052,14.7938635491506
"19022","Almaguer",0.562525352371654,3.20501311664029e-05,20.6,0.06,22.37,73.32,"6","Rural",224,-9.84,46.5,57.33,2.24,15.18,15.88,45.68,46.18,6.29,357.102522365633,83.3558706858363,55.9541606948529,762928255177257,6.49,22.15,72.44,6.41,86.27,5.47,25.64,51.53,12.82,92.31,10.95,21.9,32.85,21.9,0.96,7.46,92.54,12.84,8.56,82.47,0.56,3,67.4013265299284,167.760688047708,67.4013265299284,129.5556,0.0809209235323267,0,0,94.09,5.91,52.02,63.28125,0,1.41059027777778,52.4088541666667,42.7560763888889,11146659.3870985,11287769.7444661,2050991.58051215,1979071.47298177,1955120.15961372,1108734.48404948,170899.209852431,0.847764756944444,2.97760693147843,95.460369760205,1.56202330831655,0,0,0,0,0,23.0889129865796,1.42931805146438,11.1833111642832,4.47403591796329,9.82184356349562,14.613869098723
"19050","Argelia",0.238909085592395,2.34638033265579e-05,0.19,0.57,26.28,33.96,"6","Rural disperso",674,6.55,58.1,92.6,4.77,9.81,10.33,47.25,49.79,2.34,210.962353310796,70.748008027318,71.8289638661887,74129261646099,5.6,19,105.56,8.05,78.07,5.34,20.12,92.98,4.02,97.59,34.12,166.82,7.58,22.75,0.94,30.1,69.9,50.17,32.53,89.85,3.25,1,74.9090079405862,141.477743507972,74.9090079405862,175.1367,0.194017443642683,0,1,90.65,9.35,47.96,81.1498689193126,492.436201780415,111.018060005826,1383.41101077775,12.8804981066123,11631948.6276216,11742275.1569327,1885128.90631372,1749184.88348383,1724776.80487183,888215.838807166,131797.464571803,0.219196038450335,2.49245269125985,96.2447537000221,1.26279360871806,1,0,0,0,0,22.6613566593416,1.01751993470136,11.8199984831499,3.73122029460346,10.2206313351375,14.5170853119991
"19075","Balboa",0.45010901827639,6.01440565645624e-05,0.08,13.03,24.03,56.88,"6","Rural",329,-10.57,53.4,76.73,5.29,10.16,10.71,47.27,48.17,2.1,34.6192853130591,79.5156026724687,57.4291544196941,124204856610861,4.38,17.2,82.13,11.48,86.89,5.9,8.2,63.54,8.2,90.57,65.82,84.63,56.42,9.4,18.14,21.41,78.59,46.56,28.98,95.46,1.12,87,80.7122459807408,162.570528862067,80.7122459807408,129.9689,0.154751222425147,0,1,75.27,24.73,51.21,51.1251125112511,349.349544072948,2.02520252025203,200.2700270027,14.2101710171017,10757030.4387939,10873787.8189919,1888145.08132313,1778278.28654365,1749869.38550855,953708.755715572,67297.999549955,0.3496399639964,3.36752376937848,95.5271415858742,1.10533464474732,1,0,0,0,0,23.389361854806,2.33608061553977,11.607023954424,4.23178497134334,10.0087480631936,14.4861273655555
"19100","Bolívar",0.500368429949404,9.27870772242508e-06,7.31,5.05,20.8,82.99,"6","Rural",717,-13.48,48.5,74.46,2.35,10.9,11.72,47.12,48.15,2.82,30.7673366836739,84.5360555392663,6.07790577623995,143701912926916,3.89,19.07,85.62,7.71,87.11,6.16,12.85,58.23,7.71,96.4,21.43,61.62,13.4,42.86,4.33,11.35,88.65,23.89,18.5,91.59,1.19,13,80.2740578032875,177.728682374013,80.2740578032875,129.5657,0.00577925670928999,0,0,88.06,11.94,50.29,63.6100513090383,0,0.236810945928167,55.8610709117221,19.9336929351401,11096044.0102618,11167889.5674253,1802713.38560716,1734888.13982371,1711495.57763452,792390.032206289,133025.859913169,0.676831995790028,4.85073622439366,93.6068265632992,1.5424372123072,0,0,0,0,1,22.9984457420619,0.492291117151286,11.124689761309,4.01476008287926,10.5454730090001,14.4759998505163
"19110","Buenos Aires",0.449296998852418,4.05900968179706e-05,26.22,66.32,26.58,47.54,"6","Rural",410,16.6,51.1,65.35,1.88,8.88,9.05,39.67,43.26,2.88,40.9332800933521,63.7873620937267,52.6879836972753,204860819224064,4.21,20.08,62.48,9.94,81.02,5.86,6.01,65.03,6.01,94.59,53.54,78.73,25.19,53.54,1.8,12.71,87.29,51.98,16.54,86.02,2.06,22,62.3510546603733,42.7745771495431,62.3510546603733,96.6106,0.67048460438225,0,1,97.19,2.81,55.07,36.1148986455777,357.924390243902,0.757506893312729,180.377541435627,16.9175529497318,8017483.46538194,8104184.88316214,1351688.7801715,1287451.77844438,1265253.00833258,703005.507196315,96544.9990000909,0.292549162197376,6.27558539381038,92.8934010152284,0.831013590961192,1,0,0,0,0,23.4941547186565,1.89731996488855,11.0703346745413,4.4664826662142,10.4043537454075,14.1858552886003
"19130","Cajibío",0.508721465589494,1.20673454578657e-05,7.18,3.22,26.87,52.8,"6","Rural",526,21.06,52.1,71.61,3,11.44,11.95,46.47,47.24,3,3.4967381964684,86.1561734107638,56.4170006942397,153821452675608,3.97,19.88,69.56,6.78,86.5,6.07,8.44,59.55,6.33,94.51,49.48,42.41,21.21,47.13,2.69,5.6,94.4,34.61,8.04,88.84,1.25,21,22.4216274461222,85.5953711370641,22.4216274461222,45.5799,0.18805511534921,0,0,95.83,4.17,58.95,41.0824269427336,107.897338403042,0.393133272179269,59.6688944218757,13.8125191106452,2134027.31188573,8586545.48182851,1464784.17208317,1341075.41698336,1309028.91728913,681473.968549338,233930.136176997,0.385008517887564,4.28993226422741,95.0790250680252,0.631042667747351,1,0,0,0,0,22.8802365311813,2.56849119176912,11.725685332754,4.44956845389352,10.7317336465177,14.3453822336367
"19137","Caldono",0.553082146130063,2.28418009614132e-05,75.58,0.31,31.05,37.33,"6","Rural",373,29.25,50.6,91.52,2.18,11.7,12.05,39.43,42.61,3.15,36.5952131594754,83.1996040572656,55.0848264347982,148681263351874,3.85,19.81,75.28,5.14,59.97,3.98,13.2,79.76,1.47,58.8,39.12,19.56,22.01,12.23,2.14,11.14,88.86,79.43,9.55,91.4,2.05,25,40.6333448601738,66.445023042573,40.6333448601738,71.6375,0.121048926963269,0,1,95.77,4.23,64.86,13.7550862676457,6.77211796246649,1.4093791911982,38.6897319906344,12.8435361778546,1942036.18490146,8801626.02666455,1467311.55445432,1409943.78591075,1389706.32515742,714362.991861972,116967.256507013,0.192584846900502,4.07802368576175,95.2842827286855,0.637693585552757,1,1,1,0,0,22.8862421421076,1.44026494360718,10.957237900963,4.75255517290115,10.6917403465236,14.2756398528884
"19142","Caloto",0.381381786380106,2.42766658716828e-05,52.4,25.35,24.67,51.53,"5","Rural",302,-18.26,48.21,87.66,2.74,7.97,9.24,43.32,45.45,34.8,164.828555737662,70.5873936509658,129.297507752681,954968262863286,4.2,19.91,72.86,5.74,87.16,6,10.9,58.82,10.9,86.1,209,129.38,56.4,132.7,3.15,28.12,71.88,54,27.51,92.47,5.37,35,71.2737997770592,42.906770253524,71.2737997770592,99.8173,0.469539639896767,0,1,83.22,16.78,51.07,24.9637809471685,3.66887417218543,1.35217797237694,77.5248704162777,119.297511348637,10112801.2041467,10374547.0180934,1788702.38025176,1252896.06013972,1223441.50806478,656012.493223013,35143.7932133544,0.229548308167799,18.5327164573695,80.6609385327165,0.806345009914078,1,0,0,0,0,22.7915623685137,3.95215233037469,13.1915280316782,4.64899566552812,10.3437082919346,14.416458111337
"19212","Corinto",0.313138472537286,2.58853337280618e-05,46.54,11.18,23.04,57.2,"6","Intermedio",294,-10.68,47.25,88.32,3.2,8.68,11.47,45.82,47.99,4.44,31.9170300660314,10.1498532166644,57.9331167173045,139371903115592,7.55,12.15,109.14,5.7,90.85,6.25,6.31,65.34,3.15,97.16,82.87,280.17,23.68,39.46,7.84,56.77,43.23,57.59,56.43,96.93,11.01,3,84.595336133337,49.0383110902683,84.595336133337,128.5956,0.219239650993553,0,1,50.89,49.11,47.75,25.7723607173105,7.31972789115646,1.21515631328939,117.686047796148,33.0669808889053,10096793.2701698,10200113.9168907,1665831.31549877,1508079.76856796,1483634.74076665,771768.710166808,77930.6239643554,0.36163788341864,16.2220593624038,82.6053499450348,1.17259069256138,1,1,0,0,0,23.3039334492687,3.03500144918619,11.9687765865729,4.52406858455105,10.2093901190181,14.3715553715323
