"variable","categoria","n","porcentaje"
"Categoría de ruralidad","Ciudades y aglomeraciones",16,19
"Categoría de ruralidad","Intermedio",26,31
"Categoría de ruralidad","Rural",26,31
"Categoría de ruralidad","Rural disperso",16,19
"Categoría Ley 617","1",3,3.6
"Categoría Ley 617","2",6,7.1
"Categoría Ley 617","4",2,2.4
"Categoría Ley 617","5",7,8.3
"Categoría Ley 617","6",65,77.4
"Categoría Ley 617","Especial",1,1.2
"Municipio PDET","0",64,76.2
"Municipio PDET","1",20,23.8
"Aislamiento vial","0",81,96.4
"Aislamiento vial","1",3,3.6
