"variable","media","de","minimo","mediana","maximo","mc"
"pobreza_monetaria",0.36,0.14,0.08,0.35,0.67,0.1
"pct_indigena_2024",15.15,25.68,0,1.79,98.83,0.87
"pct_afro_2024",16.86,28.84,0.06,2.16,97.94,0.85
"pct_menores15_2024",24.08,4.28,17.18,22.92,38.46,0.37
"indice_envejecimiento_2024",69.51,24,18.42,72.98,143.64,-0.29
"pob_total",74720.56,253480.71,5213,27128.5,2280171,0.25
"pct_rural",56.55,29.55,2.31,52.6,97.19,0.15
"tasa_dependencia",55.17,7.2,42.62,54.28,77.43,0.1
"extension",612.48,932.35,43,369.5,6785,0.21
"densidad_2024",172.21,456.31,1.89,86.32,4137.4,0.34
"var_intercensal",7.57,21.41,-44.26,5.52,65.79,0.08
"idf_2024",53.22,6.8,40.5,53.35,72.1,-0.09
"cobertura_educ_2024",73.46,12.33,43.78,72.52,106.67,0.08
"desercion_2024",4.43,1.72,1.7,4.16,8.07,0.19
"analfabetismo_2018",7.95,3.34,2.58,7.92,16.72,-0.05
"analfabetismo_rural_2018",9.53,3.85,2.71,9.88,21.26,-0.24
"saber11_mate_2022",46.91,4.18,34.17,47.3,54.65,-0.08
"saber11_lectura_2022",49.44,4.01,38.67,49.78,56.93,-0.07
"empresas_formales_2016",33.95,69.72,0,0,256.63,1
"pct_ocupados_form_2016",8.34,8.17,1.53,5.74,41.32,0.27
"pct_primario_2023",33.51,17.66,0.2,34.22,68.45,-0.06
"pct_secundario_2023",13.87,14.99,3.31,8.13,70.59,0.56
"pct_terciario_2023",52.62,16.02,12.93,51.86,91.53,0.01
"peso_relativo_2023",2.38,5.76,0.13,0.83,44.39,0.55
"tasa_mortalidad_2020",5.71,1.81,1.35,5.98,10.07,-0.22
"mort_materna_2020",69.47,331.37,0,0,2941.18,1
"mort_infantil_1a_2020",16.88,6.67,8.55,15.44,50.71,0.19
"cobertura_pentavalente_2020",69.89,16.21,31.24,65.21,113.21,0.46
"bajo_peso_2020",8.02,2.65,1.59,7.71,16.22,0.13
"control_prenatal_4_2020",83.43,8.58,49.06,86.69,95.24,-0.51
"promedio_prenatales_2020",5.9,0.77,3.85,5.94,7.84,0
"mort_infantil_5a_2020",11.9,7.79,0,10.96,42.25,0.1
"mort_eda_2020",2.86,10.87,0,0,77.34,1
"mort_ira_2020",6.26,20.99,0,0,162.87,1
"mort_desnutricion_2020",3.09,15.32,0,0,123.3,1
"fecundidad_15_19_2020",49.84,15,24.44,47.29,92.98,0.17
"mort_neonatal_2020",6.67,6.02,0,5.94,28.17,0.03
"partos_calificados_2020",94.45,9.58,55.64,98.48,100,-0.62
"tasa_hurto_2019",142.17,196.12,0,76.97,1127.67,0.4
"tasa_homicidios_2019",53.16,44.94,0,46.7,280.17,0.07
"tasa_extorsion_2019",23.83,17.36,0,20.54,75.34,0.18
"tasa_violencia_intra_2019",63.71,56.07,0,46.98,318.95,0.35
"recaudo_predial_2020",3.9,2.78,0,3.8,18.14,-0.04
"pct_predios_urb_2022",48.01,24.9,5.6,49.61,96.23,-0.09
"acueducto_2018",70.93,27.12,11.62,83.42,98.98,-0.57
"alcantarillado_2018",53.69,30.59,8.04,61.26,97.8,-0.27
"energia_2018",92.91,11.47,36.15,97.02,99.77,-0.52
"internet_2018",16.37,18.23,0.35,10.62,80,0.29
"iica_2023",0.14,0.17,0.01,0.08,1,0.5
"dist_popayan_km",125.8,76.39,0,103.83,277.71,0.34
"dist_cali_km",100.91,53.75,0,99.93,246.81,-0.01
"dist_capital_km",78.47,44.18,0,71.53,177.23,0.18
"snap_km",2.22,6.72,0,0.23,39.48,0.69
"coca_pct_territorio",0.46,1.16,0,0,4.92,1
"desplaz_tasa_1000",3.53,13.13,0.04,0.86,111.02,0.41
"victimas_tasa_1000",66.18,165.87,0,22.84,1383.41,0.43
"cotizantes_tasa_1000",49.01,48.55,9.38,31.06,284.64,0.46
"pagos_admin_pc",1498904.08,540074.1,308841.03,1534718.93,2712729.36,-0.03
"pagos_educacion_pc",59199.59,194720.83,0,0,1009417.59,1
"pagos_salud_pc",142558.69,316333.32,0,0,1186067.13,1
"pagos_serv_publicos_pc",1242.72,4564.7,0,0,26314.42,1
"pagos_total_pc",1765186.52,518305.78,487595.24,1724544.26,4407285.24,0.01
"ingresos_pc",2012497.64,540697.18,1286268.07,1899028.12,4781800.98,0.22
"ingresos_corrientes_pc",1839567.35,470637.57,1187052.41,1784926.27,4073797.69,0.04
"ingresos_tributarios_pc",338555.13,353157.98,34071.5,232043.2,2472450.51,0.35
"ingresos_no_trib_pc",1501012.22,412489.3,717540.62,1437257.94,2789810.89,0.18
"transferencias_pc",1432799.93,421527.64,633063.85,1378408.03,2756011.2,0.12
"sgp_pc",803201.75,280659.25,314740.09,743145.48,2011504.21,0.24
"recursos_capital_pc",172930.28,124369.12,0,146461.2,708003.29,0.18
"valor_agregado_pc",0.02,0.02,0.01,0.02,0.11,-0.03
"predios_pc",0.35,0.14,0.03,0.36,0.85,-0.16
"avaluo_promedio",43.25,57.65,1.23,25.37,287.94,0.35
"pct_contributivo",23.77,18.57,2.49,19.76,66.02,0.24
"pct_subsidiado",74.93,18.57,32.72,78.76,96.24,-0.23
"pct_excepcion",1.3,0.7,0.02,1.26,4.37,-0.04
"pct_sisben_A",29.67,16.1,0.28,27.31,81.15,0.14
