"variable","mc","pct_ceros","minimo"
"empresas_formales_2016",1,75,0
"mort_materna_2020",1,83.333,0
"mort_eda_2020",1,89.286,0
"mort_ira_2020",1,82.143,0
"mort_desnutricion_2020",1,89.286,0
"coca_pct_territorio",1,67.857,0
"pagos_educacion_pc",1,88.095,0
"pagos_salud_pc",1,82.143,0
"pagos_serv_publicos_pc",1,91.667,0
"pct_indigena_2024",0.867,1.19,0
"pct_afro_2024",0.854,0,0.06
"snap_km",0.692,0,0.004
"pct_secundario_2023",0.556,0,3.31
"peso_relativo_2023",0.55,0,0.133
"iica_2023",0.5,0,0.01
"cotizantes_tasa_1000",0.46,0,9.379
"cobertura_pentavalente_2020",0.459,0,31.24
"victimas_tasa_1000",0.427,1.19,0
"desplaz_tasa_1000",0.411,0,0.037
"tasa_hurto_2019",0.403,1.19,0
"pct_menores15_2024",0.368,0,17.18
"avaluo_promedio",0.354,0,1.227
"tasa_violencia_intra_2019",0.352,8.333,0
"ingresos_tributarios_pc",0.35,0,34071.503
"dist_popayan_km",0.344,1.19,0
"densidad_2024",0.341,0,1.89
"internet_2018",0.287,0,0.35
"pct_ocupados_form_2016",0.272,0,1.53
"pob_total",0.254,0,5213
"pct_contributivo",0.242,0,2.492
"sgp_pc",0.239,0,314740.093
"ingresos_pc",0.223,0,1286268.065
"extension",0.206,0,43
"mort_infantil_1a_2020",0.193,0,8.55
"desercion_2024",0.192,0,1.7
"dist_capital_km",0.179,2.381,0
"recursos_capital_pc",0.178,0,0
"tasa_extorsion_2019",0.177,7.143,0
"ingresos_no_trib_pc",0.175,0,717540.615
"fecundidad_15_19_2020",0.174,0,24.44
"pct_rural",0.149,0,2.31
"pct_sisben_A",0.143,0,0.283
"bajo_peso_2020",0.131,0,1.59
"transferencias_pc",0.116,0,633063.848
"tasa_dependencia",0.097,0,42.62
"mort_infantil_5a_2020",0.096,10.714,0
"cobertura_educ_2024",0.081,0,43.78
"var_intercensal",0.078,1.19,-44.26
"tasa_homicidios_2019",0.07,4.762,0
"ingresos_corrientes_pc",0.04,0,1187052.412
"mort_neonatal_2020",0.035,21.429,0
"pct_terciario_2023",0.008,0,12.93
"pagos_total_pc",0.008,0,487595.235
"promedio_prenatales_2020",0,0,3.85
"dist_cali_km",-0.008,1.19,0
"valor_agregado_pc",-0.025,0,0.005
"pagos_admin_pc",-0.032,0,308841.03
"recaudo_predial_2020",-0.036,1.19,0
"pct_excepcion",-0.044,0,0.024
"analfabetismo_2018",-0.053,0,2.58
"pct_primario_2023",-0.062,0,0.203
"saber11_lectura_2022",-0.069,0,38.67
"saber11_mate_2022",-0.078,0,34.17
"idf_2024",-0.087,0,40.5
"pct_predios_urb_2022",-0.089,0,5.6
"predios_pc",-0.16,0,0.025
"tasa_mortalidad_2020",-0.219,0,1.35
"pct_subsidiado",-0.229,0,32.723
"analfabetismo_rural_2018",-0.239,0,2.71
"alcantarillado_2018",-0.27,0,8.04
"indice_envejecimiento_2024",-0.285,0,18.42
"control_prenatal_4_2020",-0.514,0,49.06
"energia_2018",-0.523,0,36.15
"acueducto_2018",-0.571,0,11.62
"partos_calificados_2020",-0.617,0,55.64
