"criterio_vecindad","serie","tipo","I","I_esperanza","I_p_asint","I_p_perm","I_p_perm_bil","C","C_p_asint"
"Queen, orden 1","pobreza_monetaria","estimador directo",0.676858332192646,-0.0120481927710843,1.81464800012961e-21,1e-04,0,0.338757515657658,5.2781839216223e-19
"Queen, orden 1","alcantarillado_2018","covariable",0.781640780441526,-0.0120481927710843,1.00215794711376e-27,1e-04,0,0.248802172355915,1.12439419533676e-24
"Queen, orden 1","pct_rural","covariable",0.599224151313479,-0.0120481927710843,3.06220865466224e-17,1e-04,0,0.437604835999163,1.58805971873138e-14
"Queen, orden 1","partos_calificados_2020","covariable",0.549195883505177,-0.0120481927710843,3.73356497982402e-16,1e-04,0,0.461677762699974,2.32588047360059e-09
"Queen, orden 1","transferencias_pc","covariable",0.403097322523804,-0.0120481927710843,4.28709442995365e-09,1e-04,0,0.546592706529665,6.09396918792866e-09
"Queen, orden 1","saber11_lectura_2022","covariable",0.554816710185628,-0.0120481927710843,2.79603237942789e-15,1e-04,0,0.450552864439144,5.38774806127837e-13
"Queen, orden 1","tasa_violencia_intra_2019","covariable",0.285907107578506,-0.0120481927710843,1.29149860557833e-05,1e-04,0.000199999999999978,0.728580454704697,0.000822987788343846
"Queen, orden 1","pct_secundario_2023","covariable",0.27972092864568,-0.0120481927710843,1.98900663267719e-05,1e-04,0.000199999999999978,0.769875527771897,0.00348040426456984
"Queen, orden 1","tiene_empresas_formales","covariable",0.108560090702948,-0.0120481927710843,0.0486964457359241,0.0542,0.1084,0.948847766619875,0.2505073952983
"Queen, orden 1","dist_cali_km","covariable",0.915100019752681,-0.0120481927710843,1.95165526235475e-37,1e-04,0,0.0580751843090097,7.45208388742343e-36
