"modelo","especificacion","metodo","escala","papel","mse_type","n","cv_medio","cv_mediana","cv_max","n_cv_mayor","n_excluidos","n_pred_na","n_no_positiva","n_fuera_uno","n_mse_invalido"
"M1_reml_original","M1","reml","original","principal","analytical",84,10.476,9.919,21.354,1,0,0,0,0,0
"M1_ml_original","M1","ml","original","sensibilidad","analytical",84,10.494,9.9,21.873,1,0,0,0,0,0
"M1_amrl_original","M1","amrl","original","sensibilidad","analytical",84,10.491,9.946,21.142,1,0,0,0,0,0
"M1_ampl_original","M1","ampl","original","sensibilidad","analytical",84,10.474,9.904,21.552,1,0,0,0,0,0
"M1_amrl_yl_original","M1","amrl_yl","original","sensibilidad","analytical",84,10.519,9.977,21.341,1,0,0,0,0,0
"M1_ampl_yl_original","M1","ampl_yl","original","sensibilidad","analytical",84,10.491,9.896,21.875,1,0,0,0,0,0
"M2_reml_original","M2","reml","original","principal","analytical",84,10.257,9.953,21.725,1,0,0,0,0,0
"M2_ml_original","M2","ml","original","sensibilidad","analytical",84,10.276,9.937,22.537,1,0,0,0,0,0
"M2_amrl_original","M2","amrl","original","sensibilidad","analytical",84,10.274,9.96,21.45,1,0,0,0,0,0
"M2_ampl_original","M2","ampl","original","sensibilidad","analytical",84,10.272,9.975,22.075,1,0,0,0,0,0
"M2_amrl_yl_original","M2","amrl_yl","original","sensibilidad","analytical",84,10.261,9.957,21.723,1,0,0,0,0,0
"M2_ampl_yl_original","M2","ampl_yl","original","sensibilidad","analytical",84,10.276,9.937,22.537,1,0,0,0,0,0
"M3_reml_original","M3","reml","original","principal","analytical",84,10.22,9.906,21.269,1,0,0,0,0,0
"M3_ml_original","M3","ml","original","sensibilidad","analytical",84,10.317,9.94,22.23,1,0,0,0,0,0
"M3_amrl_original","M3","amrl","original","sensibilidad","analytical",84,10.215,9.915,21.018,1,0,0,0,0,0
"M3_ampl_original","M3","ampl","original","sensibilidad","analytical",84,10.264,9.916,21.769,1,0,0,0,0,0
"M3_amrl_yl_original","M3","amrl_yl","original","sensibilidad","analytical",84,10.226,9.912,21.267,1,0,0,0,0,0
"M3_ampl_yl_original","M3","ampl_yl","original","sensibilidad","analytical",84,10.31,9.934,22.236,1,0,0,0,0,0
"M1_reml_log","M1","reml","log","principal","analytical",84,11.569,12.396,14.577,0,0,0,0,0,0
"M1_reml_logit","M1","reml","logit","principal","boot",84,10.545,10.728,18.708,0,0,0,0,0,0
"M2_reml_log","M2","reml","log","principal","analytical",84,11.3,12.129,14.236,0,0,0,0,0,0
"M2_reml_logit","M2","reml","logit","principal","boot",84,10.223,10.438,17.97,0,0,0,0,0,0
"M3_reml_log","M3","reml","log","principal","analytical",84,11.322,12.182,14.492,0,0,0,0,0,0
"M3_reml_logit","M3","reml","logit","principal","boot",84,10.285,10.344,18.468,0,0,0,0,0,0
