"modelo","especificacion","criterio","n_vars","metodo","escala","papel","mse_type","estimado","alineado","sigma2_u","var_limite","n_avisos","avisos","error","segundos"
"M1_reml_original","M1","KICb2",6,"reml","original","principal","analytical",TRUE,TRUE,0.00168892,FALSE,0,NA,NA,0.4
"M1_ml_original","M1","KICb2",6,"ml","original","sensibilidad","analytical",TRUE,TRUE,0.00137479,FALSE,0,NA,NA,0.3
"M1_amrl_original","M1","KICb2",6,"amrl","original","sensibilidad","analytical",TRUE,TRUE,0.00189356,FALSE,0,NA,NA,0
"M1_ampl_original","M1","KICb2",6,"ampl","original","sensibilidad","analytical",TRUE,TRUE,0.00154556,FALSE,0,NA,NA,0
"M1_amrl_yl_original","M1","KICb2",6,"amrl_yl","original","sensibilidad","analytical",TRUE,TRUE,0.00171999,FALSE,0,NA,NA,0
"M1_ampl_yl_original","M1","KICb2",6,"ampl_yl","original","sensibilidad","analytical",TRUE,TRUE,0.00137257,FALSE,0,NA,NA,0
"M2_reml_original","M2","KICc",7,"reml","original","principal","analytical",TRUE,TRUE,0.00153448,FALSE,0,NA,NA,0
"M2_ml_original","M2","KICc",7,"ml","original","sensibilidad","analytical",TRUE,TRUE,0.00118583,FALSE,0,NA,NA,0
"M2_amrl_original","M2","KICc",7,"amrl","original","sensibilidad","analytical",TRUE,TRUE,0.00173228,FALSE,0,NA,NA,0.1
"M2_ampl_original","M2","KICc",7,"ampl","original","sensibilidad","analytical",TRUE,TRUE,0.00135941,FALSE,0,NA,NA,0
"M2_amrl_yl_original","M2","KICc",7,"amrl_yl","original","sensibilidad","analytical",TRUE,TRUE,0.00153702,FALSE,0,NA,NA,0.1
"M2_ampl_yl_original","M2","KICc",7,"ampl_yl","original","sensibilidad","analytical",TRUE,TRUE,0.00118583,FALSE,0,NA,NA,0.1
"M3_reml_original","M3","KIC",9,"reml","original","principal","analytical",TRUE,TRUE,0.00141954,FALSE,0,NA,NA,0
"M3_ml_original","M3","KIC",9,"ml","original","sensibilidad","analytical",TRUE,TRUE,0.00104686,FALSE,0,NA,NA,0
"M3_amrl_original","M3","KIC",9,"amrl","original","sensibilidad","analytical",TRUE,TRUE,0.00159924,FALSE,0,NA,NA,0.1
"M3_ampl_original","M3","KIC",9,"ampl","original","sensibilidad","analytical",TRUE,TRUE,0.00118858,FALSE,0,NA,NA,0
"M3_amrl_yl_original","M3","KIC",9,"amrl_yl","original","sensibilidad","analytical",TRUE,TRUE,0.00142341,FALSE,0,NA,NA,0.1
"M3_ampl_yl_original","M3","KIC",9,"ampl_yl","original","sensibilidad","analytical",TRUE,TRUE,0.00104332,FALSE,0,NA,NA,0.1
"M1_reml_log","M1","KICb2",6,"reml","log","principal","analytical",TRUE,TRUE,0.022721,FALSE,0,NA,NA,0
"M1_reml_logit","M1","KICb2",6,"reml","logit","principal","boot",TRUE,TRUE,0.0403034,FALSE,0,NA,NA,23.7
"M2_reml_log","M2","KICc",7,"reml","log","principal","analytical",TRUE,TRUE,0.0201181,FALSE,0,NA,NA,0
"M2_reml_logit","M2","KICc",7,"reml","logit","principal","boot",TRUE,TRUE,0.0350666,FALSE,0,NA,NA,22.7
"M3_reml_log","M3","KIC",9,"reml","log","principal","analytical",TRUE,TRUE,0.0191896,FALSE,0,NA,NA,0
"M3_reml_logit","M3","KIC",9,"reml","logit","principal","boot",TRUE,TRUE,0.0335332,FALSE,0,NA,NA,23.3
