"modelo","especificacion","metodo","fuente","gamma_medio","gamma_min","gamma_max"
"M1_reml_original","M1","reml","objeto",0.4029,0.0757,0.9743
"M1_ml_original","M1","ml","objeto",0.3668,0.0625,0.9686
"M1_amrl_original","M1","amrl","objeto",0.4235,0.0841,0.977
"M1_ampl_original","M1","ampl","objeto",0.3872,0.0697,0.9719
"M1_amrl_yl_original","M1","amrl_yl","objeto",0.4062,0.0769,0.9747
"M1_ampl_yl_original","M1","ampl_yl","objeto",0.3665,0.0624,0.9685
"M2_reml_original","M2","reml","objeto",0.3859,0.0692,0.9717
"M2_ml_original","M2","ml","objeto",0.3417,0.0543,0.9637
"M2_amrl_original","M2","amrl","objeto",0.4074,0.0775,0.9749
"M2_ampl_original","M2","ampl","objeto",0.3649,0.0618,0.9682
"M2_amrl_yl_original","M2","amrl_yl","objeto",0.3862,0.0693,0.9718
"M2_ampl_yl_original","M2","ampl_yl","objeto",0.3417,0.0543,0.9637
"M3_reml_original","M3","reml","objeto",0.3723,0.0644,0.9695
"M3_ml_original","M3","ml","objeto",0.3212,0.0483,0.9591
"M3_amrl_original","M3","amrl","objeto",0.3932,0.0719,0.9729
"M3_ampl_original","M3","ampl","objeto",0.3421,0.0545,0.9638
"M3_amrl_yl_original","M3","amrl_yl","objeto",0.3728,0.0645,0.9696
"M3_ampl_yl_original","M3","ampl_yl","objeto",0.3206,0.0481,0.959
