"modelo","especificacion","metodo","escala","shapiro_ef_p","shapiro_res_p"
"M1_reml_original","M1","reml","original",0.00949,0.9959
"M1_ml_original","M1","ml","original",0.003713,0.9899
"M1_amrl_original","M1","amrl","original",0.01615,0.9977
"M1_ampl_original","M1","ampl","original",0.005994,0.9925
"M1_amrl_yl_original","M1","amrl_yl","original",0.01038,0.9963
"M1_ampl_yl_original","M1","ampl_yl","original",0.003688,0.9899
"M2_reml_original","M2","reml","original",0.00133,0.5878
"M2_ml_original","M2","ml","original",0.0006151,0.5958
"M2_amrl_original","M2","amrl","original",0.001845,0.6136
"M2_ampl_original","M2","ampl","original",0.0009537,0.5928
"M2_amrl_yl_original","M2","amrl_yl","original",0.001336,0.5881
"M2_ampl_yl_original","M2","ampl_yl","original",0.0006151,0.5958
"M3_reml_original","M3","reml","original",0.0006025,0.5823
"M3_ml_original","M3","ml","original",0.0001777,0.4965
"M3_amrl_original","M3","amrl","original",0.0009571,0.5676
"M3_ampl_original","M3","ampl","original",0.0002994,0.5488
"M3_amrl_yl_original","M3","amrl_yl","original",0.0006087,0.5823
"M3_ampl_yl_original","M3","ampl_yl","original",0.0001751,0.4946
"M1_reml_log","M1","reml","log",0.6005,0.3708
"M1_reml_logit","M1","reml","logit",0.107,0.7534
"M2_reml_log","M2","reml","log",0.1415,0.02963
"M2_reml_logit","M2","reml","logit",0.0173,0.1317
"M3_reml_log","M3","reml","log",0.09879,0.03634
"M3_reml_logit","M3","reml","logit",0.001734,0.1342
