"especificacion","metodo","k","covariable","beta_base","beta_robusto","dif_absoluta","desplazamiento_ee_base","cambia_signo","emparejamiento"
"M1","reblup",1.345,"(Intercept)",1.476,1.472,-0.003966,-0.024,FALSE,"nombre"
"M1","reblup",1.345,"alcantarillado_2018",-0.003477,-0.003204,0.0002738,0.39,FALSE,"nombre"
"M1","reblup",1.345,"pct_rural",-0.002367,-0.002191,0.0001754,0.306,FALSE,"nombre"
"M1","reblup",1.345,"partos_calificados_2020",-0.005307,-0.005578,-0.0002712,-0.211,FALSE,"nombre"
"M1","reblup",1.345,"transferencias_pc",1.232e-07,1.33e-07,9.788e-09,0.428,FALSE,"nombre"
"M1","reblup",1.345,"saber11_lectura_2022",-0.0102,-0.01045,-0.000246,-0.083,FALSE,"nombre"
"M1","reblup",1.345,"tasa_violencia_intra_2019",0.0003509,0.0003843,3.333e-05,0.246,FALSE,"nombre"
"M1","reblupbc",1.345,"(Intercept)",1.476,1.472,-0.003966,-0.024,FALSE,"nombre"
"M1","reblupbc",1.345,"alcantarillado_2018",-0.003477,-0.003204,0.0002738,0.39,FALSE,"nombre"
"M1","reblupbc",1.345,"pct_rural",-0.002367,-0.002191,0.0001754,0.306,FALSE,"nombre"
"M1","reblupbc",1.345,"partos_calificados_2020",-0.005307,-0.005578,-0.0002712,-0.211,FALSE,"nombre"
"M1","reblupbc",1.345,"transferencias_pc",1.232e-07,1.33e-07,9.788e-09,0.428,FALSE,"nombre"
"M1","reblupbc",1.345,"saber11_lectura_2022",-0.0102,-0.01045,-0.000246,-0.083,FALSE,"nombre"
"M1","reblupbc",1.345,"tasa_violencia_intra_2019",0.0003509,0.0003843,3.333e-05,0.246,FALSE,"nombre"
"M2","reblup",1.345,"(Intercept)",1.595,1.59,-0.005544,-0.032,FALSE,"nombre"
"M2","reblup",1.345,"alcantarillado_2018",-0.003279,-0.003073,0.0002058,0.299,FALSE,"nombre"
"M2","reblup",1.345,"pct_rural",-0.002405,-0.002244,0.0001612,0.29,FALSE,"nombre"
"M2","reblup",1.345,"partos_calificados_2020",-0.005403,-0.005367,3.605e-05,0.028,FALSE,"nombre"
"M2","reblup",1.345,"transferencias_pc",1.095e-07,1.152e-07,5.711e-09,0.246,FALSE,"nombre"
"M2","reblup",1.345,"saber11_lectura_2022",-0.012,-0.01254,-0.0005412,-0.181,FALSE,"nombre"
"M2","reblup",1.345,"tasa_violencia_intra_2019",0.0004401,0.0004556,1.557e-05,0.114,FALSE,"nombre"
"M2","reblup",1.345,"pct_secundario_2023",-0.001113,-0.001115,-1.673e-06,-0.004,FALSE,"nombre"
"M2","reblupbc",1.345,"(Intercept)",1.595,1.59,-0.005544,-0.032,FALSE,"nombre"
"M2","reblupbc",1.345,"alcantarillado_2018",-0.003279,-0.003073,0.0002058,0.299,FALSE,"nombre"
"M2","reblupbc",1.345,"pct_rural",-0.002405,-0.002244,0.0001612,0.29,FALSE,"nombre"
"M2","reblupbc",1.345,"partos_calificados_2020",-0.005403,-0.005367,3.605e-05,0.028,FALSE,"nombre"
