"modelo","especificacion","metodo","k","cod_mun","Municipio","directo","varianza","base","robusto","dif_pp"
"M1_reblup_1.345","M1","reblup",1.345,"19001","Popayán",0.387999218684024,0.000107894536586391,0.385900515089036,0.385444034102595,-0.0456
"M1_reblup_1.345","M1","reblup",1.345,"19022","Almaguer",0.562525352371654,0.0136491858851204,0.51687326973548,0.513258021613418,-0.3615
"M1_reblup_1.345","M1","reblup",1.345,"19050","Argelia",0.238909085592395,0.00235774527420282,0.299607194660307,0.314632303843208,1.5025
"M1_reblup_1.345","M1","reblup",1.345,"19075","Balboa",0.45010901827639,0.0122073320924848,0.444758314496261,0.442827863195792,-0.193
"M1_reblup_1.345","M1","reblup",1.345,"19100","Bolívar",0.500368429949404,0.00628201529723791,0.442128967357744,0.433980877967979,-0.8148
"M1_reblup_1.345","M1","reblup",1.345,"19110","Buenos Aires",0.449296998852418,0.0100005839773152,0.424191924796334,0.418569553523628,-0.5622
"M1_reblup_1.345","M1","reblup",1.345,"19130","Cajibío",0.508721465589494,0.00729331691925184,0.433184722490283,0.420234920317724,-1.295
"M1_reblup_1.345","M1","reblup",1.345,"19137","Caldono",0.553082146130063,0.0111952566482734,0.632975152609001,0.640132089711557,0.7157
"M1_reblup_1.345","M1","reblup",1.345,"19142","Caloto",0.381381786380106,0.00530551647503933,0.441176830865618,0.447536017605551,0.6359
"M1_reblup_1.345","M1","reblup",1.345,"19212","Corinto",0.313138472537286,0.00376871935286487,0.339198000977803,0.341344378918323,0.2146
"M1_reblup_1.345","M1","reblup",1.345,"19256","El Tambo",0.534467488422076,0.00254281929597808,0.458754784983104,0.42793884632806,-3.0816
"M1_reblup_1.345","M1","reblup",1.345,"19290","Florencia",0.523549226857493,0.0139109248008639,0.541681941820779,0.548148305663083,0.6466
"M1_reblup_1.345","M1","reblup",1.345,"19300","Guachené",0.314021505745962,0.000861410426553789,0.331379259773445,0.332889418660428,0.151
"M1_reblup_1.345","M1","reblup",1.345,"19318","Guapi",0.549766265076062,0.00512038748396201,0.624760882402983,0.626012144817132,0.1251
"M1_reblup_1.345","M1","reblup",1.345,"19355","Inzá",0.504403345724611,0.0149002890445202,0.453123382384849,0.451766636633814,-0.1357
"M1_reblup_1.345","M1","reblup",1.345,"19364","Jambaló",0.619395990544596,0.0106645305442734,0.649720681907289,0.658672107927672,0.8951
"M1_reblup_1.345","M1","reblup",1.345,"19392","La Sierra",0.513091533789568,0.0116592285221911,0.478478569657313,0.474772393384985,-0.3706
"M1_reblup_1.345","M1","reblup",1.345,"19397","La Vega",0.527577733005663,0.0125741189862332,0.412205715447847,0.403298638132364,-0.8907
"M1_reblup_1.345","M1","reblup",1.345,"19418","López de Micay",0.67339111537938,0.0143155329906009,0.675987205672322,0.679879795804957,0.3893
"M1_reblup_1.345","M1","reblup",1.345,"19450","Mercaderes",0.507048831931205,0.0109386268959071,0.378252667645382,0.363268819550452,-1.4984
"M1_reblup_1.345","M1","reblup",1.345,"19455","Miranda",0.198653480586513,0.00112773336633902,0.208447321738958,0.209981824995827,0.1535
"M1_reblup_1.345","M1","reblup",1.345,"19473","Morales",0.524107460035218,0.0126976470575373,0.52892400782477,0.525832236059802,-0.3092
"M1_reblup_1.345","M1","reblup",1.345,"19513","Padilla",0.378594269667572,0.0069961523472339,0.333392405451239,0.330232861965465,-0.316
"M1_reblup_1.345","M1","reblup",1.345,"19517","Páez",0.557053293913796,0.0053456226555541,0.531706240135546,0.532484065953212,0.0778
