"modelo","especificacion","n_vars","metodo","k","papel","mse_type","estimado","alineado","sigma2_u","n_avisos","avisos","error","segundos"
"M1_reml_NA","M1",6,"reml",NA,"referencia","analytical",TRUE,TRUE,0.00168892,0,NA,NA,0.1
"M2_reml_NA","M2",7,"reml",NA,"referencia","analytical",TRUE,TRUE,0.00153448,0,NA,NA,0.1
"M3_reml_NA","M3",9,"reml",NA,"referencia","analytical",TRUE,TRUE,0.00141954,0,NA,NA,0.1
"M1_reblup_1.345","M1",6,"reblup",1.345,"principal","pseudo",TRUE,TRUE,0.00101914,0,NA,NA,1.4
"M1_reblupbc_1.345","M1",6,"reblupbc",1.345,"principal","pseudo",TRUE,TRUE,0.00101914,0,NA,NA,0.4
"M2_reblup_1.345","M2",7,"reblup",1.345,"principal","pseudo",TRUE,TRUE,0.00137097,0,NA,NA,0.5
"M2_reblupbc_1.345","M2",7,"reblupbc",1.345,"principal","pseudo",TRUE,TRUE,0.00137097,0,NA,NA,0.4
"M3_reblup_1.345","M3",9,"reblup",1.345,"principal","pseudo",TRUE,TRUE,0.00096053,0,NA,NA,0.4
"M3_reblupbc_1.345","M3",9,"reblupbc",1.345,"principal","pseudo",TRUE,TRUE,0.00096053,0,NA,NA,0.4
"M1_reblup_1","M1",6,"reblup",1,"sensibilidad","pseudo",TRUE,TRUE,0.000705959,0,NA,NA,0.5
"M1_reblup_2","M1",6,"reblup",2,"sensibilidad","pseudo",TRUE,TRUE,0.00162571,0,NA,NA,0.3
"M1_reblupbc_1","M1",6,"reblupbc",1,"sensibilidad","pseudo",TRUE,TRUE,0.000705959,0,NA,NA,0.5
"M1_reblupbc_2","M1",6,"reblupbc",2,"sensibilidad","pseudo",TRUE,TRUE,0.00162571,0,NA,NA,0.3
"M2_reblup_1","M2",7,"reblup",1,"sensibilidad","pseudo",TRUE,TRUE,0.000771787,0,NA,NA,0.5
"M2_reblup_2","M2",7,"reblup",2,"sensibilidad","pseudo",TRUE,TRUE,0.00134834,0,NA,NA,0.3
"M2_reblupbc_1","M2",7,"reblupbc",1,"sensibilidad","pseudo",TRUE,TRUE,0.000771787,0,NA,NA,0.4
"M2_reblupbc_2","M2",7,"reblupbc",2,"sensibilidad","pseudo",TRUE,TRUE,0.00134834,0,NA,NA,0.4
"M3_reblup_1","M3",9,"reblup",1,"sensibilidad","pseudo",TRUE,TRUE,0.000690693,0,NA,NA,0.4
"M3_reblup_2","M3",9,"reblup",2,"sensibilidad","pseudo",TRUE,TRUE,0.00112647,0,NA,NA,0.3
"M3_reblupbc_1","M3",9,"reblupbc",1,"sensibilidad","pseudo",TRUE,TRUE,0.000690693,0,NA,NA,0.4
"M3_reblupbc_2","M3",9,"reblupbc",2,"sensibilidad","pseudo",TRUE,TRUE,0.00112647,0,NA,NA,0.4
