"especificacion","metodo","k","principal","cv_medio","cv_mediana","dif_media_abs","dif_max_abs","n_mayor_1pp","n_excluidos"
"M1","reblup",1,FALSE,8.347,7.857,1.0268,4.9572,29,0
"M1","reblup",1.345,TRUE,9.128,8.623,0.559,3.0816,11,0
"M1","reblup",2,FALSE,10.202,9.668,0.035,0.1223,0,0
"M1","reblupbc",1,FALSE,11.312,8.681,0.7149,4.7778,17,0
"M1","reblupbc",1.345,TRUE,11.582,9.285,0.5383,4.7778,7,0
"M1","reblupbc",2,FALSE,12.024,10.204,0.2437,4.7778,5,0
"M2","reblup",1,FALSE,8.532,8.21,0.7568,4.5618,18,0
"M2","reblup",1.345,TRUE,9.813,9.469,0.2066,2.2133,3,0
"M2","reblup",2,FALSE,9.758,9.412,0.1094,0.5237,0,0
"M2","reblupbc",1,FALSE,11.259,8.779,0.6295,5.8179,9,0
"M2","reblupbc",1.345,TRUE,11.196,9.656,0.3662,5.8179,5,0
"M2","reblupbc",2,FALSE,11.373,9.612,0.3107,5.8179,5,0
"M3","reblup",1,FALSE,8.538,8.232,0.7735,4.4521,20,0
"M3","reblup",1.345,TRUE,9.187,8.794,0.4116,2.9566,7,0
"M3","reblup",2,FALSE,9.516,9.096,0.2115,0.9085,0,0
"M3","reblupbc",1,FALSE,10.978,8.711,0.5868,5.1561,11,0
"M3","reblupbc",1.345,TRUE,11.033,9.27,0.4464,5.1561,5,0
"M3","reblupbc",2,FALSE,10.957,9.729,0.3459,5.1561,5,0
