"criterio","paso","variable","motivo","valor"
"KIC",5,"ingresos_no_trib_pc","VIF",18.99
"KIC",6,"pct_afro_2024","VIF",10.1
"KIC",6,"extension","VIF",10.05
"KIC",6,"var_intercensal","VIF",10.32
"KIC",6,"desercion_2024","VIF",10.81
"KIC",6,"saber11_mate_2022","VIF",28.77
"KIC",6,"pct_primario_2023","VIF",10.08
"KIC",6,"peso_relativo_2023","VIF",10.08
"KIC",6,"tasa_mortalidad_2020","VIF",11.11
"KIC",6,"mort_infantil_1a_2020","VIF",10.05
"KIC",6,"promedio_prenatales_2020","VIF",10.02
"KIC",6,"mort_infantil_5a_2020","VIF",10.04
"KIC",6,"mort_neonatal_2020","VIF",10.15
"KIC",6,"tasa_hurto_2019","VIF",10.17
"KIC",6,"tasa_homicidios_2019","VIF",10.02
"KIC",6,"tasa_extorsion_2019","VIF",10.83
"KIC",6,"pct_predios_urb_2022","VIF",10.07
"KIC",6,"acueducto_2018","VIF",10.8
"KIC",6,"energia_2018","VIF",10.17
"KIC",6,"dist_popayan_km","VIF",12.87
"KIC",6,"dist_capital_km","VIF",11.66
"KIC",6,"snap_km","VIF",10.2
"KIC",6,"aislado_vial","VIF",10.12
"KIC",6,"pagos_admin_pc","VIF",10.17
"KIC",6,"ingresos_no_trib_pc","VIF",19.18
"KIC",6,"pct_contributivo","VIF",10.36
"KIC",6,"pct_sisben_A","VIF",10.02
"KIC",6,"tiene_coca","VIF",10.62
"KIC",6,"log_valor_agregado_pc","VIF",11.18
"KIC",6,"log_avaluo_promedio","VIF",10.05
"KIC",6,"log_ingresos_tributarios_pc","VIF",10.31
"KIC",6,"log_pob_total","VIF",10.76
"KIC",6,"rural","VIF",10.11
"KIC",6,"rural_disperso","VIF",10.03
"KIC",7,"pct_afro_2024","VIF",10.11
"KIC",7,"extension","VIF",10.1
"KIC",7,"var_intercensal","VIF",10.34
"KIC",7,"desercion_2024","VIF",10.81
"KIC",7,"saber11_mate_2022","VIF",28.82
"KIC",7,"pct_primario_2023","VIF",10.08
"KIC",7,"peso_relativo_2023","VIF",10.09
"KIC",7,"tasa_mortalidad_2020","VIF",11.11
"KIC",7,"mort_infantil_1a_2020","VIF",10.11
"KIC",7,"promedio_prenatales_2020","VIF",10.06
"KIC",7,"mort_infantil_5a_2020","VIF",10.12
"KIC",7,"mort_neonatal_2020","VIF",10.25
"KIC",7,"tasa_hurto_2019","VIF",10.2
"KIC",7,"tasa_homicidios_2019","VIF",10.08
"KIC",7,"tasa_extorsion_2019","VIF",10.87
"KIC",7,"pct_predios_urb_2022","VIF",10.18
"KIC",7,"acueducto_2018","VIF",10.87
"KIC",7,"energia_2018","VIF",10.24
"KIC",7,"dist_popayan_km","VIF",13.17
"KIC",7,"dist_capital_km","VIF",11.73
"KIC",7,"snap_km","VIF",10.27
"KIC",7,"aislado_vial","VIF",10.17
"KIC",7,"pdet","VIF",10.04
"KIC",7,"coca_pct_territorio","VIF",10.03
"KIC",7,"pagos_admin_pc","VIF",10.2
"KIC",7,"ingresos_no_trib_pc","VIF",19.72
"KIC",7,"pct_contributivo","VIF",10.74
"KIC",7,"pct_excepcion","VIF",10
"KIC",7,"pct_sisben_A","VIF",10.06
"KIC",7,"tiene_coca","VIF",10.68
"KIC",7,"log_valor_agregado_pc","VIF",11.28
"KIC",7,"log_avaluo_promedio","VIF",10.15
"KIC",7,"log_ingresos_tributarios_pc","VIF",10.46
"KIC",7,"log_pob_total","VIF",10.81
"KIC",7,"rural","VIF",10.23
"KIC",7,"rural_disperso","VIF",10.07
"KIC",8,"pct_afro_2024","VIF",10.23
"KIC",8,"extension","VIF",10.14
"KIC",8,"var_intercensal","VIF",10.36
"KIC",8,"idf_2024","VIF",10
"KIC",8,"desercion_2024","VIF",11.11
"KIC",8,"saber11_mate_2022","VIF",29.76
"KIC",8,"pct_ocupados_form_2016","VIF",10.03
"KIC",8,"pct_primario_2023","VIF",10.42
"KIC",8,"peso_relativo_2023","VIF",10.16
"KIC",8,"tasa_mortalidad_2020","VIF",11.25
"KIC",8,"mort_infantil_1a_2020","VIF",10.19
"KIC",8,"promedio_prenatales_2020","VIF",10.13
"KIC",8,"mort_infantil_5a_2020","VIF",10.18
"KIC",8,"mort_neonatal_2020","VIF",10.31
"KIC",8,"tasa_hurto_2019","VIF",10.37
"KIC",8,"tasa_homicidios_2019","VIF",10.1
"KIC",8,"tasa_extorsion_2019","VIF",11.07
"KIC",8,"pct_predios_urb_2022","VIF",10.25
"KIC",8,"acueducto_2018","VIF",10.97
"KIC",8,"energia_2018","VIF",10.28
"KIC",8,"dist_popayan_km","VIF",13.6
"KIC",8,"dist_capital_km","VIF",11.86
"KIC",8,"snap_km","VIF",10.32
"KIC",8,"aislado_vial","VIF",10.22
"KIC",8,"pdet","VIF",10.13
"KIC",8,"coca_pct_territorio","VIF",10.07
"KIC",8,"pagos_admin_pc","VIF",10.21
"KIC",8,"ingresos_no_trib_pc","VIF",20.06
"KIC",8,"pct_contributivo","VIF",10.86
"KIC",8,"pct_excepcion","VIF",10.02
"KIC",8,"pct_sisben_A","VIF",10.16
"KIC",8,"tiene_coca","VIF",10.77
"KIC",8,"tiene_mort_ira","VIF",10.08
"KIC",8,"log_valor_agregado_pc","VIF",11.41
"KIC",8,"log_avaluo_promedio","VIF",10.18
"KIC",8,"log_ingresos_tributarios_pc","VIF",10.55
"KIC",8,"log_pob_total","VIF",10.9
"KIC",8,"rural","VIF",10.34
"KIC",8,"rural_disperso","VIF",10.15
"KIC",9,"pct_afro_2024","VIF",10.32
"KIC",9,"extension","VIF",10.17
"KIC",9,"var_intercensal","VIF",10.51
"KIC",9,"idf_2024","VIF",10.12
"KIC",9,"desercion_2024","VIF",11.17
"KIC",9,"analfabetismo_2018","VIF",10.02
"KIC",9,"analfabetismo_rural_2018","VIF",10.13
"KIC",9,"saber11_mate_2022","VIF",29.78
"KIC",9,"pct_ocupados_form_2016","VIF",10.12
"KIC",9,"pct_primario_2023","VIF",10.43
"KIC",9,"peso_relativo_2023","VIF",10.22
"KIC",9,"tasa_mortalidad_2020","VIF",11.3
"KIC",9,"mort_infantil_1a_2020","VIF",10.23
"KIC",9,"cobertura_pentavalente_2020","VIF",10
"KIC",9,"control_prenatal_4_2020","VIF",10.05
"KIC",9,"promedio_prenatales_2020","VIF",10.2
"KIC",9,"mort_infantil_5a_2020","VIF",10.27
"KIC",9,"mort_neonatal_2020","VIF",10.43
"KIC",9,"tasa_hurto_2019","VIF",10.41
"KIC",9,"tasa_homicidios_2019","VIF",10.23
"KIC",9,"tasa_extorsion_2019","VIF",11.25
"KIC",9,"recaudo_predial_2020","VIF",10.04
"KIC",9,"pct_predios_urb_2022","VIF",10.51
"KIC",9,"acueducto_2018","VIF",11.06
"KIC",9,"energia_2018","VIF",10.37
"KIC",9,"internet_2018","VIF",10.16
"KIC",9,"dist_popayan_km","VIF",13.69
"KIC",9,"dist_capital_km","VIF",11.86
"KIC",9,"snap_km","VIF",10.4
"KIC",9,"aislado_vial","VIF",10.33
"KIC",9,"pdet","VIF",10.2
"KIC",9,"coca_pct_territorio","VIF",10.16
"KIC",9,"cotizantes_tasa_1000","VIF",10.01
"KIC",9,"pagos_admin_pc","VIF",10.25
"KIC",9,"ingresos_no_trib_pc","VIF",20.1
"KIC",9,"pct_contributivo","VIF",11.4
"KIC",9,"pct_excepcion","VIF",10.12
"KIC",9,"pct_sisben_A","VIF",10.27
"KIC",9,"tiene_coca","VIF",10.88
"KIC",9,"tiene_mort_materna","VIF",10.04
"KIC",9,"tiene_mort_ira","VIF",10.11
"KIC",9,"log_valor_agregado_pc","VIF",11.43
"KIC",9,"log_avaluo_promedio","VIF",10.3
"KIC",9,"log_ingresos_tributarios_pc","VIF",10.58
"KIC",9,"log_densidad_2024","VIF",10.04
"KIC",9,"log_pob_total","VIF",11.02
"KIC",9,"rural","VIF",10.56
"KIC",9,"rural_disperso","VIF",10.31
"KIC",10,"pct_afro_2024","VIF",10.32
"KIC",10,"extension","VIF",10.18
"KIC",10,"var_intercensal","VIF",10.51
"KIC",10,"idf_2024","VIF",10.14
"KIC",10,"desercion_2024","VIF",11.17
"KIC",10,"analfabetismo_2018","VIF",10.05
"KIC",10,"analfabetismo_rural_2018","VIF",10.16
"KIC",10,"saber11_mate_2022","VIF",30.02
"KIC",10,"pct_ocupados_form_2016","VIF",10.14
"KIC",10,"pct_primario_2023","VIF",10.43
"KIC",10,"peso_relativo_2023","VIF",10.22
"KIC",10,"tasa_mortalidad_2020","VIF",11.31
"KIC",10,"mort_infantil_1a_2020","VIF",10.25
"KIC",10,"cobertura_pentavalente_2020","VIF",10.01
"KIC",10,"control_prenatal_4_2020","VIF",10.06
"KIC",10,"promedio_prenatales_2020","VIF",10.2
"KIC",10,"mort_infantil_5a_2020","VIF",10.27
"KIC",10,"mort_neonatal_2020","VIF",10.43
"KIC",10,"tasa_hurto_2019","VIF",10.41
"KIC",10,"tasa_homicidios_2019","VIF",10.25
"KIC",10,"tasa_extorsion_2019","VIF",11.27
"KIC",10,"recaudo_predial_2020","VIF",10.08
