"criterio","paso","movimiento","variable","n_vars","valor_criterio","mejora","vif_max","n_descartes","tiempo_min","covariables"
"KIC",1,"+","alcantarillado_2018",1,-148.3925,62.5252,1,0,0.038,"alcantarillado_2018"
"KIC",2,"+","pct_rural",2,-166.0075,17.615,6.2,0,0.041,"alcantarillado_2018 + pct_rural"
"KIC",3,"+","partos_calificados_2020",3,-179.0357,13.0282,6.33,0,0.045,"alcantarillado_2018 + pct_rural + partos_calificados_2020"
"KIC",4,"+","transferencias_pc",4,-190.933,11.8973,7.66,0,0.057,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc"
"KIC",5,"+","saber11_lectura_2022",5,-194.185,3.2519,9.68,1,0.06,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022"
"KIC",6,"+","tasa_violencia_intra_2019",6,-198.1103,3.9253,9.74,33,0.03,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019"
"KIC",7,"+","pct_secundario_2023",7,-201.1667,3.0564,9.8,36,0.029,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023"
"KIC",8,"+","tiene_empresas_formales",8,-201.578,0.4113,9.93,39,0.027,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023 + tiene_empresas_formales"
"KIC",9,"+","dist_cali_km",9,-202.1895,0.6115,9.95,48,0.025,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023 + tiene_empresas_formales + dist_cali_km"
"KICc",1,"+","alcantarillado_2018",1,-147.0592,61.5285,1,0,11.736,"alcantarillado_2018"
"KICc",2,"+","pct_rural",2,-164.3138,17.2546,6.2,0,12.148,"alcantarillado_2018 + pct_rural"
"KICc",3,"+","partos_calificados_2020",3,-176.5724,12.2586,6.33,0,12.713,"alcantarillado_2018 + pct_rural + partos_calificados_2020"
"KICc",4,"+","transferencias_pc",4,-187.751,11.1785,7.66,0,13.164,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc"
"KICc",5,"+","saber11_lectura_2022",5,-189.9865,2.2356,9.68,1,12.98,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022"
"KICc",6,"+","tasa_violencia_intra_2019",6,-192.2111,2.2246,9.74,33,7.172,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019"
"KICc",7,"+","pct_secundario_2023",7,-193.0626,0.8515,9.8,36,6.803,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023"
"KICb2",1,"+","alcantarillado_2018",1,-146.3553,60.8004,1,0,12.067,"alcantarillado_2018"
"KICb2",2,"+","pct_rural",2,-163.5289,17.1737,6.2,0,12.63,"alcantarillado_2018 + pct_rural"
"KICb2",3,"+","partos_calificados_2020",3,-175.2791,11.7502,6.33,0,13.239,"alcantarillado_2018 + pct_rural + partos_calificados_2020"
"KICb2",4,"+","transferencias_pc",4,-186.171,10.8919,7.66,0,13.686,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc"
"KICb2",5,"+","saber11_lectura_2022",5,-187.5881,1.417,9.68,1,13.535,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022"
"KICb2",6,"+","tasa_violencia_intra_2019",6,-190.0329,2.4448,9.74,33,7.499,"alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019"
