"criterio","paso","movimiento","variable","covariables"
"KIC",5,"+","log_ingresos_pc","alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + log_ingresos_pc"
"KIC",6,"+","log_ingresos_pc","alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + log_ingresos_pc"
"KIC",7,"+","log_ingresos_pc","alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + log_ingresos_pc"
"KIC",8,"+","pagos_total_pc","alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023 + pagos_total_pc"
"KIC",8,"+","ingresos_corrientes_pc","alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023 + ingresos_corrientes_pc"
"KIC",8,"+","log_ingresos_pc","alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023 + log_ingresos_pc"
"KIC",9,"+","pagos_total_pc","alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023 + tiene_empresas_formales + pagos_total_pc"
"KIC",9,"+","ingresos_corrientes_pc","alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023 + tiene_empresas_formales + ingresos_corrientes_pc"
"KIC",9,"+","log_ingresos_pc","alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023 + tiene_empresas_formales + log_ingresos_pc"
"KIC",10,"+","pagos_total_pc","alcantarillado_2018 + pct_rural + partos_calificados_2020 + transferencias_pc + saber11_lectura_2022 + tasa_violencia_intra_2019 + pct_secundario_2023 + tiene_empresas_formales + dist_cali_km + pagos_total_pc"
